Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
ACACB	ACC2, ACCB, HACC275	ENSG00000076555	Acetyl-CoA carboxylase beta	12	109116595-109268226	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006554	Uncertain				Tissue enriched	8	adipose tissue: 123.8	liver: 15.9
ACAN	AGC1, CSPG1, CSPGCP, MSK16	ENSG00000157766	Aggrecan	15	88803443-88875354	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level		Evidence at protein level	CAB016377	Uncertain				Mixed			testis: 1.6
ACE	ACE1, CD143, DCP1	ENSG00000159640	Angiotensin I converting enzyme	17	63477061-63498380	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002426, CAB002921, HPA029298	Supportive				Group enriched	6	duodenum: 127.7;lung: 50.7;small intestine: 194.5;testis: 45.7	thyroid gland: 17.0
ACE		ENSG00000264813	Uncharacterized protein {ECO:0000313|Ensembl:ENSP00000464149} 	17	63484817-63521848	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level			HPA029298	Uncertain				Tissue enriched	12	testis: 9.3	small intestine: 0.8
ACHE	YT	ENSG00000087085	Acetylcholinesterase (Yt blood group)	7	100889994-100896974	Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enriched	6	skeletal muscle: 42.8	bone marrow: 7.6
ACP2		ENSG00000134575	Acid phosphatase 2, lysosomal	11	47239302-47248906	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Expressed in all			duodenum: 31.5
ACP5	TRAP	ENSG00000102575	Acid phosphatase 5, tartrate resistant	19	11574660-11579008	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002584, HPA057655, HPA059463	Supportive		Uncertain	Cytoplasm	Expressed in all			lung: 124.2
ACP6	ACPL1, LPAP	ENSG00000162836	Acid phosphatase 6, lysophosphatidic	1	147629652-147670496	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA028560	Uncertain				Expressed in all			prostate: 12.1
ACPP	ACP-3, ACP3	ENSG00000014257	Acid phosphatase, prostate	3	132317367-132368298	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000071, HPA004335, HPA063916	Supportive				Tissue enriched	81	prostate: 2569.2	esophagus: 31.5
ACR		ENSG00000100312	Acrosin	22	50738196-50745334	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA048687	Supportive				Tissue enriched	65	testis: 66.2	spleen: 1.0
ACRBP	CT23, OY-TES-1, SP32	ENSG00000111644	Acrosin binding protein	12	6638075-6647460	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA039081, HPA039082	Supportive		Uncertain	Nucleus but not nucleoli, Vesicles	Tissue enriched	21	testis: 232.8	thyroid gland: 10.9
ACRV1	D11S4365, SP-10, SPACA2	ENSG00000134940	Acrosomal vesicle protein 1	11	125671522-125681123	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038718, HPA038719	Supportive				Tissue enriched	173	testis: 72.9	cerebral cortex: 0.4
ACSF2	ACSMW, FLJ20920	ENSG00000167107	Acyl-CoA synthetase family member 2	17	50426158-50474845	Mitochondrial proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA024693	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm, Cytoskeleton (Microtubules)	Expressed in all			kidney: 114.1
ACTL10	C20orf134	ENSG00000182584	Actin-like 10	20	33666498-33668525	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA066750	Uncertain				Tissue enriched	11	testis: 13.0	prostate: 1.2
ACVR1	ACVR1A, ACVRLK2, ALK2, SKR1	ENSG00000115170	Activin A receptor, type I	2	157736444-157875862	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA007505, HPA046514	Uncertain		Uncertain	Nucleoli, Cytoplasm	Expressed in all			thyroid gland: 37.7
ACVR1C	ACVRLK7, ALK7	ENSG00000123612	Activin A receptor, type IC	2	157526767-157629005	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA007982, HPA011933	Uncertain		Uncertain	Cytoplasm, Cytoskeleton (Intermediate filaments), Cytoskeleton (Microtubules)	Tissue enriched	7	adipose tissue: 22.9	duodenum: 3.4
ACVRL1	ACVRLK1, ALK1, HHT, HHT2, ORW2	ENSG00000139567	Activin A receptor type II-like 1	12	51906908-51923361	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007041	Uncertain				Tissue enhanced	0	placenta: 69.3	lung: 56.2
ACYP1		ENSG00000119640	Acylphosphatase 1, erythrocyte (common) type	14	75053221-75069483	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA034944	Uncertain		Uncertain	Cytoplasm, Nucleus	Expressed in all			adrenal gland: 26.5
ACYP2		ENSG00000170634	Acylphosphatase 2, muscle type	2	53970838-54305300	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA035301	Uncertain		Uncertain	Nucleus but not nucleoli	Expressed in all			skeletal muscle: 54.2
ADAM10	CD156c, HsT18717, kuz, MADM	ENSG00000137845	ADAM metallopeptidase domain 10	15	58588807-58749978	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB001709, HPA050670	Uncertain		Supportive	Plasma membrane, Vesicles	Expressed in all			urinary bladder: 37.1
ADAM12	MCMPMltna, MLTN	ENSG00000148848	ADAM metallopeptidase domain 12	10	126012381-126388455	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA030866, HPA030867, HPA030868	Supportive		Supportive	Plasma membrane, Mitochondria	Tissue enriched	15	placenta: 181.4	urinary bladder: 12.3
ADAM15	MDC15	ENSG00000143537	ADAM metallopeptidase domain 15	1	155050566-155062775	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA011633	Uncertain				Expressed in all			skin: 54.4
ADAM17	CD156B, cSVP, TACE	ENSG00000151694	ADAM metallopeptidase domain 17	2	9488486-9555792	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA010738, CAB025906, HPA051575	Supportive		Supportive	Cytoplasm	Expressed in all			placenta: 17.3
ADAM18	ADAM27, tMDCIII	ENSG00000168619	ADAM metallopeptidase domain 18	8	39584489-39730064	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enriched	141	testis: 14.1	adipose tissue: 0.0
ADAM22	MDC2	ENSG00000008277	ADAM metallopeptidase domain 22	7	87934143-88202889	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045282	Uncertain		Uncertain	Nucleus, Cytoskeleton (Intermediate filaments)	Tissue enhanced	0	cerebral cortex: 22.9	adrenal gland: 7.7
ADAM28	ADAM23, eMDCII, MDC-Lm, MDC-Ls	ENSG00000042980	ADAM metallopeptidase domain 28	8	24294040-24359018	Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	stomach: 69.9	gallbladder: 37.3
ADAM29	CT73, svph1	ENSG00000168594	ADAM metallopeptidase domain 29	4	174829668-174978180	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA014159	Uncertain				Tissue enriched	100	testis: 31.1	endometrium: 0.3
ADAM32		ENSG00000197140	ADAM metallopeptidase domain 32	8	39106990-39284911	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA044156	Uncertain				Tissue enriched	35	testis: 33.6	adrenal gland: 0.9
ADAM33	C20orf153, dJ964F7.1, DKFZp434K0521	ENSG00000149451	ADAM metallopeptidase domain 33	20	3667965-3682246	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA067152	Uncertain				Mixed			endometrium: 50.8
ADAM7	EAPI, GP-83	ENSG00000069206	ADAM metallopeptidase domain 7	8	24440930-24526970	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008879	Supportive				Not detected			testis: 0.4
ADAM8	CD156, CD156a, MS2	ENSG00000151651	ADAM metallopeptidase domain 8	10	133262403-133276868	CD markers, Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA064637	Uncertain				Tissue enhanced	0	bone marrow: 30.4	spleen: 20.9
ADAM9	CORD9, KIAA0021, MCMP, MDC9, Mltng	ENSG00000168615	ADAM metallopeptidase domain 9	8	38996869-39105144	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA004000	Uncertain				Expressed in all			gallbladder: 65.1
ADAMDEC1	M12.219	ENSG00000134028	ADAM-like, decysin 1	8	24384285-24406013	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA028317	Uncertain				Tissue enhanced	0	rectum: 268.0;small intestine: 349.3	colon: 155.4
ADAMTS1	C3-C5, KIAA1346, METH1	ENSG00000154734	ADAM metallopeptidase with thrombospondin type 1 motif, 1	21	26835747-26845409	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016394, HPA031498, HPA031499	Uncertain		Supportive	Cytoplasm	Expressed in all			ovary: 242.2
ADAMTS10	ADAM-TS10	ENSG00000142303	ADAM metallopeptidase with thrombospondin type 1 motif, 10	19	8580242-8610735	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA040223	Uncertain		Uncertain	Cytoplasm	Mixed			endometrium: 2.6
ADAMTS12		ENSG00000151388	ADAM metallopeptidase with thrombospondin type 1 motif, 12	5	33523535-33892192	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA035973	Uncertain				Mixed			adipose tissue: 7.5
ADAMTS13	C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP	ENSG00000160323	ADAM metallopeptidase with thrombospondin type 1 motif, 13	9	133414358-133459402	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042014, HPA042844	Supportive		Uncertain		Tissue enhanced	0	liver: 11.0	testis: 3.8
ADAMTS14		ENSG00000138316	ADAM metallopeptidase with thrombospondin type 1 motif, 14	10	70672803-70762441	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA034605	Uncertain		Uncertain	Cytoplasm	Tissue enhanced	0	gallbladder: 5.9;placenta: 6.1	urinary bladder: 3.3
ADAMTS15		ENSG00000166106	ADAM metallopeptidase with thrombospondin type 1 motif, 15	11	130448974-130476641	Enzymes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA042867	Uncertain		Uncertain	Cytoplasm	Tissue enhanced	0	adipose tissue: 18.7;placenta: 12.7	thyroid gland: 4.1
ADAMTS16	ADAMTS16s	ENSG00000145536	ADAM metallopeptidase with thrombospondin type 1 motif, 16	5	5140330-5320304	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Tissue enhanced	0	gallbladder: 6.1;ovary: 6.9	adipose tissue: 3.7
ADAMTS17	FLJ16363, FLJ32769	ENSG00000140470	ADAM metallopeptidase with thrombospondin type 1 motif, 17	15	99971589-100342005	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Mixed			testis: 1.5
ADAMTS18	ADAMTS21	ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif, 18	16	77247813-77435114	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA044326	Uncertain				Tissue enriched	17	placenta: 13.4	endometrium: 0.8
ADAMTS19		ENSG00000145808	ADAM metallopeptidase with thrombospondin type 1 motif, 19	5	129460265-129738683	Enzymes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA056171, HPA058438	Uncertain		Uncertain	Vesicles, Cytoskeleton (Cytokinetic bridge)	Group enriched	12	endometrium: 9.4;placenta: 3.9;smooth muscle: 5.3	adrenal gland: 0.5
ADAMTS2	ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP	ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif, 2	5	179110851-179345430	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA028444	Uncertain				Mixed			smooth muscle: 14.5
ADAMTS20	GON-1	ENSG00000173157	ADAM metallopeptidase with thrombospondin type 1 motif, 20	12	43353866-43551921	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA027608, HPA027609	Uncertain		Uncertain	Cytoplasm, Golgi apparatus, Cytoskeleton (Microtubules)	Not detected			placenta: 0.4
ADAMTS3	ADAMTS-4, KIAA0366	ENSG00000156140	ADAM metallopeptidase with thrombospondin type 1 motif, 3	4	72280969-72568799	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA021368, HPA021369	Uncertain				Mixed			endometrium: 2.0
ADAMTS5	ADAMTS11, ADMP-2	ENSG00000154736	ADAM metallopeptidase with thrombospondin type 1 motif, 5	21	26917912-26966513	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA005661, CAB025996, HPA030906, HPA030908	Uncertain		Supportive	Nucleus but not nucleoli	Tissue enhanced	0	ovary: 16.6	endometrium: 12.9
ADAMTS6	ADAM-TS6	ENSG00000049192	ADAM metallopeptidase with thrombospondin type 1 motif, 6	5	65148736-65481920	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA043441	Supportive				Mixed			placenta: 1.8
ADAMTS7	ADAM-TS7, DKFZp434H204	ENSG00000136378	ADAM metallopeptidase with thrombospondin type 1 motif, 7	15	78759203-78811431	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA034581, HPA045284	Uncertain				Mixed			endometrium: 3.6
ADAMTS8	ADAM-TS8, FLJ41712, METH2	ENSG00000134917	ADAM metallopeptidase with thrombospondin type 1 motif, 8	11	130404925-130428993	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA066349	Uncertain				Tissue enhanced	0	lung: 10.9	appendix: 6.0
ADAMTS9	KIAA1312	ENSG00000163638	ADAM metallopeptidase with thrombospondin type 1 motif, 9	3	64515654-64688000	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA028567, HPA028577	Uncertain				Tissue enhanced	0	placenta: 23.9	adipose tissue: 17.8
ADAMTSL1	ADAMTSR1, C9orf94, FLJ35283	ENSG00000178031	ADAMTS-like 1	9	18473894-18910950	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA048566, HPA057437	Uncertain		Uncertain	Nucleus	Mixed			endometrium: 12.7
ADAMTSL2	KIAA0605	ENSG00000197859	ADAMTS-like 2	9	133532164-133575519	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA045634, HPA053812	Uncertain				Tissue enhanced	0	adrenal gland: 14.5;kidney: 12.6	liver: 6.4
ADAMTSL3	KIAA1233, punctin-2	ENSG00000156218	ADAMTS-like 3	15	83654086-84039842	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA034773, HPA034774	Uncertain				Mixed			endometrium: 6.6
ADAMTSL4	DKFZP434K1772, TSRC1	ENSG00000143382	ADAMTS-like 4	1	150549369-150560937	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006279	Uncertain		Uncertain	Plasma membrane, Cytoplasm	Tissue enhanced	0	placenta: 69.8	lung: 18.3
ADAMTSL5	THSD6	ENSG00000185761	ADAMTS-like 5	19	1505018-1513604	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level		Evidence at protein level	HPA044050	Uncertain				Tissue enhanced	0	smooth muscle: 10.0	endometrium: 6.3
ADCK1	FLJ39600	ENSG00000063761	AarF domain containing kinase 1	14	77800083-77935012	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA051012, HPA055014	Uncertain		Uncertain	Nucleus but not nucleoli	Expressed in all			cerebral cortex: 4.7
ADCYAP1	PACAP	ENSG00000141433	Adenylate cyclase activating polypeptide 1 (pituitary)	18	904943-912172	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Tissue enhanced	0	appendix: 9.8;gallbladder: 6.6	cerebral cortex: 6.2
ADCYAP1R1	PAC1, PAC1R, PACAPR	ENSG00000078549	Adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	7	31052461-31111479	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA049877	Uncertain				Group enriched	5	cerebral cortex: 67.8;fallopian tube: 30.8	adrenal gland: 9.5
ADI1	APL1, ARD, FLJ10913, HMFT1638, MTCBP-1, mtnD, SIPL	ENSG00000182551	Acireductone dioxygenase 1	2	3497361-3519736	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA035403, HPA035404	Uncertain		Supportive	Nucleus but not nucleoli, Golgi apparatus	Expressed in all			liver: 172.2
ADIG	MGC39724, RP5-1100H13.2, SMAF1	ENSG00000182035	Adipogenin	20	38581195-38588463	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA041124	Uncertain				Tissue enriched	20	testis: 22.2	thyroid gland: 1.1
ADIPOQ	ACDC, ACRP30, adiponectin, AdipoQ, apM1, GBP28	ENSG00000181092	Adiponectin, C1Q and collagen domain containing	3	186842690-186858463	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB046467, HPA051767	Supportive				Tissue enriched	69	adipose tissue: 668.9	salivary gland: 9.7
ADM	AM	ENSG00000148926	Adrenomedullin	11	10304680-10307397	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016075	Uncertain				Expressed in all			placenta: 111.2
ADM2	AM2, FLJ21135	ENSG00000128165	Adrenomedullin 2	22	50481556-50486440	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA039691	Uncertain		Uncertain		Tissue enhanced	0	thyroid gland: 12.0	kidney: 6.2
